customer_id,segment,acquisition_channel,uses_escrow,acquisition_cost_inr,avg_order_value_inr,orders_per_year,tenure_days,churned
1,Students,Paid Social,1,150,147.54,6,27,1
2,Ad-Hoc Sellers,Organic,0,0,112.56,1,40,1
3,Homepreneurs,Organic,0,0,118.75,22,365,0
4,Ad-Hoc Sellers,Campus Activation,1,50,163.97,2,4,1
5,Students,Paid Social,1,150,157.99,6,253,1
6,Students,Paid Social,0,150,140.13,2,140,1
7,Ad-Hoc Sellers,Paid Social,1,150,162.99,3,0,1
8,Students,Organic,1,0,115.06,1,3,1
9,Students,Organic,0,0,95.91,2,149,1
10,Homepreneurs,Organic,1,0,136.08,31,42,1
11,Ad-Hoc Sellers,Paid Social,0,150,143.09,2,22,1
12,Students,Organic,0,0,108.72,2,9,1
13,Students,Paid Social,0,150,103.77,4,24,1
14,Ad-Hoc Sellers,Organic,0,0,156.29,0,176,1
15,Students,Paid Social,0,150,119.6,9,64,1
16,Students,Paid Social,1,150,141.88,0,169,1
17,Homepreneurs,Paid Social,0,150,142.66,11,9,1
18,Students,Paid Social,1,150,116.44,5,12,1
19,Homepreneurs,Organic,0,0,111.67,22,55,1
20,Homepreneurs,Paid Social,0,150,108.13,38,365,0
21,Ad-Hoc Sellers,Paid Social,0,150,139.55,1,69,1
22,Homepreneurs,Organic,0,0,136.11,42,339,1
23,Students,Paid Social,0,150,101.84,4,151,1
24,Ad-Hoc Sellers,Paid Social,0,150,109.8,0,20,1
25,Ad-Hoc Sellers,Campus Activation,0,50,106.91,3,3,1
26,Ad-Hoc Sellers,Organic,1,0,148.73,2,39,1
27,Students,Paid Social,0,150,145.94,2,39,1
28,Homepreneurs,Organic,0,0,111.73,31,148,1
29,Homepreneurs,Campus Activation,0,50,122.79,19,27,1
30,Ad-Hoc Sellers,Campus Activation,0,50,142.68,2,27,1
31,Students,Organic,1,0,151.78,2,76,1
32,Homepreneurs,Organic,1,0,128.53,10,91,1
33,Students,Paid Social,0,150,117.0,2,6,1
34,Ad-Hoc Sellers,Paid Social,0,150,111.46,1,8,1
35,Students,Paid Social,1,150,159.36,5,32,1
36,Ad-Hoc Sellers,Paid Social,1,150,187.48,1,48,1
37,Homepreneurs,Paid Social,0,150,141.73,27,119,1
38,Students,Paid Social,0,150,130.97,0,29,1
39,Students,Campus Activation,0,50,137.94,7,267,1
40,Homepreneurs,Organic,0,0,133.77,23,365,0
41,Students,Campus Activation,1,50,155.62,9,136,1
42,Ad-Hoc Sellers,Paid Social,0,150,123.7,4,30,1
43,Students,Paid Social,0,150,125.64,2,31,1
44,Homepreneurs,Paid Social,1,150,132.61,12,176,1
45,Ad-Hoc Sellers,Paid Social,1,150,198.37,0,87,1
46,Students,Paid Social,1,150,114.27,2,174,1
47,Students,Paid Social,1,150,122.62,2,163,1
48,Ad-Hoc Sellers,Campus Activation,1,50,129.65,6,21,1
49,Homepreneurs,Paid Social,1,150,147.01,29,25,1
50,Ad-Hoc Sellers,Organic,1,0,133.77,2,46,1
51,Students,Organic,1,0,140.3,0,137,1
52,Ad-Hoc Sellers,Campus Activation,0,50,79.13,1,78,1
53,Homepreneurs,Campus Activation,0,50,118.5,35,365,0
54,Ad-Hoc Sellers,Campus Activation,0,50,99.25,7,36,1
55,Homepreneurs,Paid Social,0,150,117.25,31,365,0
56,Homepreneurs,Paid Social,0,150,134.6,22,365,0
57,Ad-Hoc Sellers,Paid Social,0,150,92.0,1,0,1
58,Ad-Hoc Sellers,Paid Social,0,150,109.36,1,64,1
59,Ad-Hoc Sellers,Campus Activation,0,50,139.93,0,25,1
60,Students,Paid Social,0,150,152.01,3,19,1
61,Homepreneurs,Paid Social,0,150,129.65,19,229,1
62,Homepreneurs,Paid Social,0,150,159.33,31,365,0
63,Students,Organic,0,0,138.08,3,6,1
64,Ad-Hoc Sellers,Paid Social,0,150,104.73,2,36,1
65,Ad-Hoc Sellers,Paid Social,0,150,125.19,0,6,1
66,Homepreneurs,Paid Social,0,150,133.01,34,365,0
67,Homepreneurs,Paid Social,0,150,115.31,32,365,0
68,Students,Campus Activation,0,50,115.4,1,12,1
69,Ad-Hoc Sellers,Paid Social,0,150,164.06,0,62,1
70,Ad-Hoc Sellers,Campus Activation,1,50,159.87,1,46,1
71,Homepreneurs,Paid Social,0,150,111.19,27,14,1
72,Students,Campus Activation,0,50,104.98,3,37,1
73,Ad-Hoc Sellers,Paid Social,1,150,113.78,2,134,1
74,Students,Paid Social,0,150,148.93,8,154,1
75,Students,Campus Activation,0,50,98.31,12,46,1
76,Homepreneurs,Paid Social,1,150,159.6,39,365,0
77,Students,Paid Social,1,150,123.39,1,240,1
78,Ad-Hoc Sellers,Campus Activation,1,50,164.76,0,68,1
79,Ad-Hoc Sellers,Campus Activation,1,50,137.31,1,8,1
80,Ad-Hoc Sellers,Organic,1,0,135.82,1,25,1
81,Students,Paid Social,0,150,138.97,1,82,1
82,Homepreneurs,Paid Social,1,150,137.27,28,364,1
83,Ad-Hoc Sellers,Paid Social,0,150,138.16,3,144,1
84,Homepreneurs,Campus Activation,0,50,134.52,24,49,1
85,Ad-Hoc Sellers,Organic,0,0,95.11,0,104,1
86,Homepreneurs,Campus Activation,1,50,155.66,36,325,1
87,Ad-Hoc Sellers,Organic,0,0,120.51,1,64,1
88,Homepreneurs,Campus Activation,0,50,101.78,22,59,1
89,Students,Campus Activation,1,50,190.93,6,115,1
90,Students,Paid Social,1,150,141.43,3,130,1
91,Students,Organic,0,0,147.32,0,6,1
92,Homepreneurs,Organic,0,0,100.22,15,365,0
93,Students,Paid Social,1,150,134.18,5,190,1
94,Homepreneurs,Campus Activation,0,50,107.17,9,365,0
95,Homepreneurs,Paid Social,0,150,101.65,14,365,0
96,Students,Campus Activation,1,50,136.54,3,1,1
97,Homepreneurs,Paid Social,0,150,103.11,33,365,0
98,Students,Campus Activation,0,50,145.42,2,69,1
99,Students,Paid Social,1,150,137.08,8,232,1
100,Ad-Hoc Sellers,Organic,0,0,143.01,0,39,1
101,Students,Paid Social,0,150,82.36,10,73,1
102,Students,Paid Social,1,150,126.28,12,338,1
103,Ad-Hoc Sellers,Paid Social,1,150,156.4,0,14,1
104,Students,Campus Activation,0,50,127.89,5,34,1
105,Ad-Hoc Sellers,Paid Social,0,150,99.63,0,137,1
106,Students,Campus Activation,1,50,159.32,14,131,1
107,Students,Paid Social,0,150,100.32,3,2,1
108,Homepreneurs,Campus Activation,1,50,160.41,27,365,0
109,Ad-Hoc Sellers,Paid Social,0,150,140.46,3,8,1
110,Homepreneurs,Paid Social,0,150,115.66,9,125,1
111,Homepreneurs,Paid Social,0,150,124.8,14,133,1
112,Homepreneurs,Paid Social,1,150,169.34,21,365,0
113,Homepreneurs,Paid Social,1,150,165.84,24,365,0
114,Ad-Hoc Sellers,Organic,0,0,168.56,2,3,1
115,Students,Paid Social,0,150,91.0,6,64,1
116,Homepreneurs,Campus Activation,0,50,140.97,29,143,1
117,Students,Campus Activation,1,50,156.93,2,111,1
118,Students,Organic,1,0,148.96,1,17,1
119,Students,Paid Social,0,150,94.52,1,112,1
120,Students,Paid Social,1,150,158.31,5,47,1
121,Students,Organic,0,0,156.24,3,55,1
122,Ad-Hoc Sellers,Paid Social,0,150,105.29,0,10,1
123,Ad-Hoc Sellers,Paid Social,1,150,122.76,1,86,1
124,Students,Organic,1,0,157.36,3,18,1
125,Students,Paid Social,0,150,127.11,4,46,1
126,Students,Organic,1,0,167.12,8,195,1
127,Homepreneurs,Paid Social,1,150,149.38,27,365,0
128,Homepreneurs,Paid Social,0,150,120.16,43,365,0
129,Homepreneurs,Paid Social,0,150,94.28,13,365,0
130,Students,Paid Social,1,150,143.23,2,18,1
131,Students,Paid Social,0,150,122.06,5,65,1
132,Students,Paid Social,0,150,142.42,0,246,1
133,Ad-Hoc Sellers,Paid Social,0,150,131.46,4,82,1
134,Ad-Hoc Sellers,Campus Activation,1,50,137.56,15,76,1
135,Ad-Hoc Sellers,Paid Social,0,150,120.8,1,76,1
136,Ad-Hoc Sellers,Paid Social,0,150,144.27,3,18,1
137,Students,Paid Social,1,150,175.43,8,135,1
138,Ad-Hoc Sellers,Campus Activation,0,50,174.92,5,24,1
139,Students,Paid Social,1,150,174.57,2,106,1
140,Students,Campus Activation,0,50,126.1,6,64,1
141,Homepreneurs,Paid Social,0,150,91.35,14,53,1
142,Students,Organic,0,0,109.66,2,76,1
143,Homepreneurs,Organic,0,0,94.26,11,365,0
144,Homepreneurs,Paid Social,0,150,85.14,34,365,0
145,Students,Organic,1,0,131.5,4,91,1
146,Ad-Hoc Sellers,Paid Social,1,150,139.15,1,16,1
147,Homepreneurs,Paid Social,0,150,130.87,13,365,0
